,WaveNumber
0,482.91571
1,518.45105
2,521.18451
3,552.61957
4,558.08655
5,646.9248
6,661.27563
7,748.74713
8,777.44873
9,783.59906
10,841.68567
11,870.38727
12,873.12073
13,903.87244
14,991.34393
15,998.17767
16,1050.7972
17,1074.0319
18,1102.7335
19,1116.4009
20,1260.5923
21,1324.1458
22,1460.8201
23,1566.0592
24,1572.8929
25,1630.2961
26,1634.3964
27,1646.697
28,1669.2483
29,1689.7494
