,WaveNumber
0,448.74716
1,491.11618
2,492.48291
3,517.76764
4,519.81775
5,641.45789
6,647.60822
7,650.34167
8,663.32574
9,716.62872
10,756.94763
11,780.18225
12,849.20276
13,879.27106
14,886.1048
15,895.672
16,907.97266
17,964.00909
18,1001.5945
19,1015.9453
20,1037.8132
21,1048.7472
22,1098.6333
23,1110.2506
24,1124.6013
25,1125.9681
26,1128.0182
27,1242.1412
28,1340.5468
29,1458.0865
30,1471.0706
31,1635.7631
32,1710.934
33,1711.6173
34,1786.1047
