,WaveNumber
759,718.67883
760,719.36218
761,720.04553
762,720.72894
763,721.41229
764,722.09564
765,722.77905
766,723.4624
767,724.14581
768,724.82916
769,725.51251
770,726.19592
771,726.87927
772,727.56262
773,728.24603
774,728.92938
775,729.61273
776,730.29614
777,730.97949
778,731.66284
779,732.34625
780,733.0296
781,733.71301
782,734.39636
783,735.07971
784,735.76312
785,736.44647
786,737.12982
787,737.81323
788,738.49658
789,739.17993
790,739.86334
791,740.54669
792,741.23004
793,741.91345
794,742.5968
795,743.28021
796,743.96356
797,744.64691
798,745.33032
799,746.01367
800,746.69702
801,747.38043
802,748.06378
803,748.74713
804,749.43054
805,750.11389
806,750.79724
807,751.48065
808,752.164
809,752.84735
810,753.53076
811,754.21411
812,754.89752
813,755.58087
814,756.26422
815,756.94763
816,757.63098
817,758.31433
818,758.99774
819,759.68109
820,760.36444
821,761.04785
822,761.7312
823,762.41455
824,763.09796
825,763.78131
826,764.46472
827,765.14807
828,765.83142
829,766.51483
830,767.19818
831,767.88153
832,768.56494
833,769.24829
834,769.93164
835,770.61505
836,771.2984
837,771.98175
838,772.66516
839,773.34851
840,774.03186
841,774.71527
842,775.39862
843,776.08203
844,776.76538
845,777.44873
846,778.13214
847,778.81549
848,779.49884
849,780.18225
850,780.8656
851,781.54895
852,782.23236
853,782.91571
854,783.59906
855,784.28247
856,784.96582
857,785.64923
858,786.33258
859,787.01593
860,787.69934
861,788.38269
862,789.06604
863,789.74945
864,790.4328
865,791.11615
866,791.79956
867,792.48291
868,793.16626
869,793.84967
870,794.53302
883,803.41687
884,804.10022
885,804.78357
886,805.46698
887,806.15033
888,806.83374
889,807.51709
890,808.20044
891,808.88385
892,809.5672
893,810.25055
894,810.93396
895,811.61731
902,816.40094
903,817.08429
904,817.76764
909,821.18451
910,821.86786
911,822.55127
912,823.23462
913,823.91797
914,824.60138
915,825.28473
916,825.96814
917,826.65149
918,827.33484
919,828.01825
920,828.7016
921,829.38495
922,830.06836
923,830.75171
924,831.43506
925,832.11847
926,832.80182
927,833.48517
928,834.16858
929,834.85193
930,835.53528
931,836.21869
932,836.90204
933,837.58545
934,838.2688
935,838.95215
938,841.00226
939,841.68567
940,842.36902
941,843.05237
942,843.73578
943,844.41913
944,845.10248
945,845.78589
946,846.46924
947,847.15265
948,847.836
949,848.51935
950,849.20276
951,849.88611
952,850.56946
953,851.25287
954,851.93622
955,852.61957
956,853.30298
957,853.98633
958,854.66968
959,855.35309
960,856.03644
961,856.71979
962,857.4032
963,858.08655
964,858.76996
965,859.45331
966,860.13666
967,860.82007
1004,886.1048
1005,886.78815
1038,909.33942
1039,910.02277
1040,910.70618
1041,911.38953
1042,912.07288
1043,912.75629
1044,913.43964
1045,914.12299
1046,914.8064
1047,915.48975
1048,916.1731
1049,916.85651
1050,917.53986
1051,918.22321
1052,918.90662
1053,919.58997
1054,920.27338
1055,920.95673
1056,921.64008
1057,922.32349
1058,923.00684
1059,923.69019
1060,924.3736
1061,925.05695
1062,925.7403
1063,926.42371
1064,927.10706
1065,927.79041
1066,928.47382
1067,929.15717
1068,929.84058
1069,930.52393
1070,931.20728
1071,931.89069
1072,932.57404
1073,933.25739
1074,933.9408
1075,934.62415
1076,935.3075
1077,935.99091
1078,936.67426
1079,937.3576
1080,938.04102
1081,938.72437
1082,939.40771
1083,940.09113
1084,940.77448
1085,941.45789
1086,942.14124
1087,942.82458
1088,943.508
1089,944.19135
1090,944.87469
1091,945.55811
1092,946.24146
1093,946.9248
1171,1000.2278
1172,1000.9111
1173,1001.5945
1174,1002.2779
1175,1002.9613
1176,1003.6447
1177,1004.328
1178,1005.0114
1179,1005.6948
1215,1030.2961
1216,1030.9795
1217,1031.6628
1218,1032.3462
1219,1033.0297
1220,1033.713
1221,1034.3964
1222,1035.0797
1223,1035.7631
1259,1060.3645
1260,1061.0479
1261,1061.7312
1262,1062.4146
1263,1063.0979
1264,1063.7814
1265,1064.4647
1266,1065.1481
1267,1065.8314
1268,1066.5148
1269,1067.1981
1270,1067.8816
1271,1068.5649
1272,1069.2483
1273,1069.9316
1274,1070.615
1275,1071.2985
1276,1071.9818
1277,1072.6652
1278,1073.3485
1279,1074.0319
1280,1074.7152
1281,1075.3987
1282,1076.082
1283,1076.7654
1284,1077.4487
1332,1110.2506
1333,1110.934
1334,1111.6173
1335,1112.3007
1336,1112.984
1337,1113.6675
1338,1114.3508
1339,1115.0342
1340,1115.7175
1341,1116.4009
1342,1117.0842
1343,1117.7677
1344,1118.451
1345,1119.1344
1346,1119.8177
1347,1120.5011
1348,1121.1846
1349,1121.8679
1350,1122.5513
1351,1123.2346
1352,1123.918
1353,1124.6013
1354,1125.2848
1355,1125.9681
1356,1126.6515
1357,1127.3348
1358,1128.0182
1359,1128.7015
1360,1129.385
1361,1130.0684
1362,1130.7517
1363,1131.4351
1364,1132.1184
1365,1132.8019
1366,1133.4852
1367,1134.1686
1368,1134.8519
1369,1135.5353
1370,1136.2186
1371,1136.9021
1372,1137.5854
1373,1138.2688
1374,1138.9521
1375,1139.6355
1376,1140.3188
1377,1141.0023
1378,1141.6857
1379,1142.369
1380,1143.0524
1381,1143.7357
1382,1144.4192
1383,1145.1025
1384,1145.7859
1385,1146.4692
1386,1147.1526
1387,1147.8359
1388,1148.5194
1389,1149.2028
1390,1149.8861
1391,1150.5695
1392,1151.2528
1393,1151.9363
1394,1152.6196
1395,1153.303
1396,1153.9863
1397,1154.6697
1398,1155.353
1399,1156.0365
1400,1156.7198
1401,1157.4032
1402,1158.0865
1403,1158.7699
1404,1159.4532
1405,1160.1367
1406,1160.8201
1407,1161.5034
1408,1162.1868
1409,1162.8701
1410,1163.5536
1411,1164.2369
1412,1164.9203
1413,1165.6036
1414,1166.287
1415,1166.9703
1416,1167.6538
1417,1168.3372
1418,1169.0205
1419,1169.7039
1420,1170.3872
1421,1171.0706
1422,1171.754
1423,1172.4374
1424,1173.1207
1425,1173.8041
1426,1174.4874
1427,1175.1709
1428,1175.8542
1429,1176.5376
1430,1177.2209
1431,1177.9043
1432,1178.5876
1433,1179.2711
1434,1179.9545
1435,1180.6378
1436,1181.3212
1437,1182.0045
1438,1182.6879
1439,1183.3713
1440,1184.0547
1441,1184.738
1442,1185.4214
1443,1186.1047
1444,1186.7882
1445,1187.4716
1446,1188.1549
1447,1188.8383
1448,1189.5216
1449,1190.205
1450,1190.8884
1451,1191.5718
1452,1192.2551
1453,1192.9385
1454,1193.6218
1455,1194.3053
1456,1194.9886
1457,1195.672
1458,1196.3553
1459,1197.0387
1460,1197.722
1461,1198.4055
1462,1199.0889
1463,1199.7722
1467,1202.5057
1468,1203.1891
1469,1203.8724
1470,1204.5558
1471,1205.2391
1472,1205.9226
1473,1206.606
1474,1207.2893
1475,1207.9727
1476,1208.656
1477,1209.3394
1478,1210.0228
1479,1210.7062
1480,1211.3895
1481,1212.0729
1482,1212.7562
1483,1213.4396
1484,1214.123
1485,1214.8064
1486,1215.4897
1487,1216.1731
1488,1216.8564
1489,1217.5399
1490,1218.2233
1491,1218.9066
1492,1219.59
1493,1220.2733
1494,1220.9567
1495,1221.6401
1496,1222.3235
1497,1223.0068
1498,1223.6902
1499,1224.3735
1500,1225.057
1501,1225.7404
1502,1226.4237
1503,1227.1071
1504,1227.7904
1505,1228.4738
1506,1229.1572
1507,1229.8406
1508,1230.5239
1509,1231.2073
1510,1231.8906
1511,1232.574
1512,1233.2574
1513,1233.9408
1514,1234.6241
1515,1235.3075
1516,1235.9908
1517,1236.6743
1518,1237.3577
1519,1238.041
1520,1238.7244
1521,1239.4077
1522,1240.0911
1523,1240.7745
1524,1241.4579
1525,1242.1412
1526,1242.8246
1527,1243.5079
1528,1244.1913
1529,1244.8748
1530,1245.5581
1531,1246.2415
1532,1246.9248
1533,1247.6082
1534,1248.2916
1535,1248.975
1536,1249.6583
1537,1250.3417
1538,1251.025
1539,1251.7084
1540,1252.3918
1541,1253.0752
1542,1253.7585
1543,1254.4419
1544,1255.1252
1545,1255.8087
1546,1256.4921
1547,1257.1754
1548,1257.8588
1549,1258.5421
1550,1259.2255
1551,1259.9089
1552,1260.5923
1553,1261.2756
1554,1261.959
1555,1262.6423
1556,1263.3257
1557,1264.0092
1558,1264.6925
1559,1265.3759
1560,1266.0592
1561,1266.7426
1562,1267.426
1563,1268.1094
1564,1268.7927
1565,1269.4761
1566,1270.1594
1567,1270.8428
1568,1271.5262
1569,1272.2096
1570,1272.8929
1571,1273.5763
1572,1274.2596
1573,1274.943
1574,1275.6265
1575,1276.3098
1576,1276.9932
1577,1277.6765
1578,1278.3599
1579,1279.0433
1580,1279.7267
1581,1280.41
1582,1281.0934
1583,1281.7767
1584,1282.4601
1585,1283.1436
1586,1283.8269
1587,1284.5103
1588,1285.1936
1589,1285.877
1590,1286.5604
1591,1287.2438
1592,1287.9271
1593,1288.6105
1594,1289.2938
1595,1289.9772
1596,1290.6606
1597,1291.344
1598,1292.0273
1599,1292.7107
1600,1293.394
1601,1294.0774
1602,1294.7609
1603,1295.4442
1604,1296.1276
1605,1296.8109
1606,1297.4943
1607,1298.1777
1608,1298.8611
1609,1299.5444
1610,1300.2278
1611,1300.9111
1612,1301.5945
1613,1302.278
1614,1302.9613
1615,1303.6447
1616,1304.328
1617,1305.0114
1618,1305.6947
1619,1306.3782
1620,1307.0615
1621,1307.7449
1622,1308.4282
1623,1309.1116
1624,1309.795
1625,1310.4784
1626,1311.1617
1627,1311.8451
1628,1312.5284
