Distance,Prominence,Width,Threshold,Average Peak Count,Accuracy,Precision,Recall,F1,Accuracy Std,Precision Std,Recall Std,F1 Std
5.0,,,,118.10968801313629,0.6390897325280415,0.6359825201078098,0.6357223066427514,0.6341221338177327,0.026256116217542633,0.026197764510322193,0.02506617392046858,0.0256232234264024
5.0,,,0.01,115.72380952380952,0.6354659188955998,0.6323989676436871,0.6308250408527245,0.6298046724072179,0.020899847973803974,0.020237572419415404,0.019802153313871397,0.020002966699692808
5.0,0.01,,0.01,115.72380952380952,0.6354659188955998,0.6323989676436871,0.6308250408527245,0.6298046724072179,0.020899847973803974,0.020237572419415404,0.019802153313871397,0.020002966699692808
5.0,0.01,,,116.88571428571429,0.6312100949094047,0.6288629355616054,0.627114242509732,0.6255990562598195,0.03257771349126116,0.03244395745868828,0.03150397591180081,0.03208981727537879
,0.01,,,165.3536945812808,0.6302210957722175,0.6274476755584864,0.6264423901359498,0.6251092436608582,0.020967554416054874,0.020391607279794992,0.020063329115836755,0.020314256518593584
,,,0.01,162.9487684729064,0.6295588869715273,0.6263191921333395,0.6255167199245121,0.6242946737385955,0.029377760828951587,0.02736528939698249,0.026481085201114384,0.027613162942814306
,0.01,,0.01,162.9487684729064,0.6295588869715273,0.6263191921333395,0.6255167199245121,0.6242946737385955,0.029377760828951587,0.02736528939698249,0.026481085201114384,0.027613162942814306
,,,,168.00656814449917,0.6282366264020707,0.6265712977442293,0.6257042322407236,0.6241094313760572,0.03195245705526731,0.030490213906910438,0.029169592283274367,0.03031627599949389
5.0,,5.0,,34.789162561576354,0.598689603106126,0.5984075029312294,0.5953184876562128,0.5947229943655545,0.028068919133229075,0.02897769769894824,0.026443985460795315,0.02724845145667295
5.0,0.01,5.0,,34.789162561576354,0.598689603106126,0.5984075029312294,0.5953184876562128,0.5947229943655545,0.028068919133229075,0.02897769769894824,0.026443985460795315,0.02724845145667295
,,5.0,,34.82331691297208,0.5872066436583261,0.5857106919039763,0.5828395378154091,0.5815571509373298,0.026637016749368907,0.024736410231790434,0.024109751311505237,0.024811161055955867
,0.01,5.0,,34.82331691297208,0.5872066436583261,0.5857106919039763,0.5828395378154091,0.5815571509373298,0.026637016749368907,0.024736410231790434,0.024109751311505237,0.024811161055955867
5.0,,5.0,0.01,34.14220032840723,0.5806223037100948,0.5803711383907387,0.5773052776409032,0.5765459390508264,0.023951104489916955,0.023643325887540787,0.022507566915313155,0.022300081182608747
5.0,0.01,5.0,0.01,34.14220032840723,0.5806223037100948,0.5803711383907387,0.5773052776409032,0.5765459390508264,0.023951104489916955,0.023643325887540787,0.022507566915313155,0.022300081182608747
,,5.0,0.01,34.176026272578,0.5802922778257119,0.5805891533787124,0.577459136566973,0.5755676865545383,0.03040985452151766,0.029964217653348602,0.03010637122610281,0.03125209826243519
,0.01,5.0,0.01,34.176026272578,0.5802922778257119,0.5805891533787124,0.577459136566973,0.5755676865545383,0.03040985452151766,0.029964217653348602,0.03010637122610281,0.03125209826243519
