window,poly,Accuracy,Precision,Recall,F1,Accuracy Std,Precision Std,Recall Std,F1 Std
101,2,0.9507474115616912,0.9502371565304799,0.9509872166911458,0.9504159927519629,0.012155018486082924,0.01228151552061965,0.012688538600386882,0.012360505971654478
19,1,0.9484480155306299,0.9476838806181986,0.9487550726108933,0.9479544021015747,0.01397228268048635,0.015220715079196062,0.014567855416719701,0.014838647543313526
51,1,0.9464786453839518,0.9455640679357117,0.9467942363552911,0.9458741760848343,0.01242618169492052,0.012937199332399325,0.012522739477341348,0.012694994993742605
25,2,0.9461496980155306,0.9459955497125258,0.9460965856353614,0.9457326735815382,0.009486199939720701,0.010340829484050355,0.009427622887136193,0.009772688511751665
51,2,0.9448360655737705,0.9439956458676699,0.9447529598957412,0.9441080536956419,0.01630291220987006,0.01682615662374744,0.017009210251779813,0.016836505158698785
101,1,0.9445060396893874,0.9438426153541786,0.9450394311385881,0.9441097523237352,0.012286060939867215,0.013015666394453484,0.012243680705784764,0.01258058621565645
151,2,0.9431934857635893,0.9419029793616908,0.9436850553467127,0.942441643030272,0.014882649974242275,0.01585646426679339,0.014863062605048506,0.01543215357702799
19,2,0.9431924072476272,0.943361637648515,0.9429734493676332,0.9427485352729317,0.01075657644667312,0.011664839941439638,0.011200595377812336,0.01105196468418307
25,1,0.9425388265746333,0.941687988694403,0.9423815416264254,0.9418360855337091,0.017828881310745507,0.018767168736923565,0.018554819329045676,0.018625962545075602
9,1,0.942204486626402,0.94161452191408,0.9423497309768255,0.9417145978784426,0.009737651555905955,0.01095034962778233,0.009873021753296374,0.010225067743397086
9,2,0.9412230371009491,0.9412237189500642,0.941417648461281,0.9409748870857311,0.013529400315394782,0.014364125706234705,0.01347246584338915,0.013755478163261756
151,1,0.9323533218291631,0.9311306821335865,0.9330113351203118,0.9313475904678012,0.015450824189159518,0.015949068973246817,0.015129738625950288,0.015722315634606677
