Distance,Prominence,Width,Threshold,Average Peak Count,Accuracy,Precision,Recall,F1,Accuracy Std,Precision Std,Recall Std,F1 Std
,,,0.01,162.9487684729064,0.8433671268334771,0.8429210864460197,0.8425709513509659,0.8417865029129479,0.020948682713978345,0.0215431851421755,0.02228456648423188,0.022150388061318294
,0.01,,0.01,162.9487684729064,0.8433671268334771,0.8429210864460197,0.8425709513509659,0.8417865029129479,0.020948682713978345,0.0215431851421755,0.02228456648423188,0.022150388061318294
,,,,168.00656814449917,0.8407226056945643,0.8408482698608747,0.840567984899035,0.8390178214814537,0.015139917122207002,0.015346622480253288,0.01480124183054414,0.01551399897461207
,0.01,,,165.3536945812808,0.8397443917169974,0.8400630528292773,0.839351754699412,0.8385095221003498,0.022189067447181944,0.02350556703994898,0.022876244493541094,0.022838055492033812
5.0,0.01,,,116.88571428571429,0.8387564710957722,0.8394534588089231,0.8377307426368914,0.837536884167589,0.01916817764679855,0.019430867994800604,0.02009557318084159,0.019547978668029934
5.0,,,,118.10968801313629,0.8279173856773079,0.8286916698882028,0.8265291488944978,0.8261149147834074,0.012946327217063734,0.01466183698358438,0.013796800564803044,0.013766846957966646
5.0,,,0.01,115.72380952380952,0.8223393011216567,0.822950829754026,0.8220856680456649,0.8210710487054914,0.018735790464331624,0.018923321836284444,0.019033430860813192,0.018676570419485432
5.0,0.01,,0.01,115.72380952380952,0.8223393011216567,0.822950829754026,0.8220856680456649,0.8210710487054914,0.018735790464331624,0.018923321836284444,0.019033430860813192,0.018676570419485432
5.0,,5.0,,34.789162561576354,0.806900345125108,0.8067243578593863,0.8058180338184288,0.8052292007962475,0.014156505204360865,0.015387782326101126,0.014982868404082172,0.014642196341802964
5.0,0.01,5.0,,34.789162561576354,0.806900345125108,0.8067243578593863,0.8058180338184288,0.8052292007962475,0.014156505204360865,0.015387782326101126,0.014982868404082172,0.014642196341802964
5.0,,5.0,0.01,34.14220032840723,0.7973824417601382,0.7992534962171455,0.795920536998914,0.7958871262718351,0.021277063408322635,0.02095722297077668,0.020917943196694853,0.021012101654895414
5.0,0.01,5.0,0.01,34.14220032840723,0.7973824417601382,0.7992534962171455,0.795920536998914,0.7958871262718351,0.021277063408322635,0.02095722297077668,0.020917943196694853,0.021012101654895414
,,5.0,,34.82331691297208,0.7963999137187231,0.7974743569018882,0.7957347956674423,0.7951701012666528,0.0177128100173291,0.018345304368592847,0.01737870677430169,0.017389319892686887
,0.01,5.0,,34.82331691297208,0.7963999137187231,0.7974743569018882,0.7957347956674423,0.7951701012666528,0.0177128100173291,0.018345304368592847,0.01737870677430169,0.017389319892686887
,,5.0,0.01,34.176026272578,0.7940929680759276,0.7943930815817651,0.7921403542015574,0.7921040606125661,0.015481025069235654,0.01705342626070147,0.016670591712009828,0.01663608781376187
,0.01,5.0,0.01,34.176026272578,0.7940929680759276,0.7943930815817651,0.7921403542015574,0.7921040606125661,0.015481025069235654,0.01705342626070147,0.016670591712009828,0.01663608781376187
