lam,p,window,poly,Accuracy,Precision,Recall,F1,Accuracy Std,Precision Std,Recall Std,F1 Std
1000000000,0.1,51,2,0.9586184210526316,0.9585263265269607,0.9586485442606945,0.9583173624474117,0.017139137213615225,0.017265930792612787,0.01771348506744078,0.01752478902987294
1000000000,0.1,25,1,0.9569801553062985,0.956896834028162,0.9567760369547145,0.9564889273592108,0.015579747340800146,0.015118175354739171,0.016570041200877145,0.015970662200048766
1000000000,0.1,25,2,0.9566533649698016,0.9568576433676576,0.9564017866560219,0.9562754767324879,0.014206437623307732,0.014217532032205242,0.014841905605999198,0.014442075186302783
100000000,0.1,25,2,0.9563276531492667,0.9561872248230234,0.9567022133125558,0.9561786222350648,0.011356960564303591,0.011082618136304614,0.01122902981581771,0.011121106282223445
100000000,0.1,25,1,0.9563254961173426,0.9566048912324273,0.9567597364088583,0.9562804330272131,0.01768253759110227,0.0172178841167437,0.018077145282325232,0.017772139629290928
100000000,0.1,19,1,0.9560008628127697,0.9561091407972533,0.9560898781238629,0.9557922717970095,0.013613137844940386,0.012735430989733487,0.014595329895483327,0.013605106775167033
100000000,0.1,51,2,0.9553408110440035,0.955944051255503,0.9550066802353341,0.9550997368500951,0.014903664576064166,0.013703276879439489,0.01562648655017175,0.014753461893799944
1000000000,0.1,9,1,0.9553343399482312,0.9557524538429195,0.955594262585526,0.9553707810136285,0.014933200089279244,0.01453988075260937,0.014911298063999243,0.014843690799080178
100000000,0.1,101,2,0.9550129421915443,0.9552360093018436,0.9550486360216895,0.9547121634542354,0.01451955517671654,0.014172829930342133,0.015173628021702064,0.014513579376151059
1000000000,0.1,19,2,0.9543518119068162,0.9544077292154061,0.9546300001132304,0.9541618699679445,0.009562463670333662,0.009217142778899536,0.010184723874806944,0.009628045770813335
1000000000,0.1,19,1,0.9536949956859362,0.9538024661236477,0.9534681254871986,0.9533022829808553,0.012921549543815272,0.012997538869617303,0.013871153100851775,0.013365208103804193
1000000000,0.05,25,1,0.9536949956859362,0.9535119610408573,0.953299574251316,0.9531704085206141,0.011778523335062407,0.011099369262534669,0.012708678467515454,0.011914471823427544
100000000,0.05,25,1,0.9533692838654012,0.9534214437530248,0.9536155408186253,0.953247865504232,0.01075134929055754,0.009875893922139167,0.011525113565110379,0.010668987599770781
100000000,0.1,51,1,0.952712467644521,0.9533650410737214,0.9523988981217603,0.9524724514967928,0.014977013168510848,0.015012960842777544,0.015374037154587511,0.015030189521771025
10000000,0.05,51,2,0.9523910698878344,0.9524685886446649,0.9530579819487028,0.9523758547573105,0.015730844328694107,0.015001085744202074,0.01578198044432287,0.015395886530962978
